('group_1',)
('group_2',)
('group_3',)

('Кира Тарасовна Владимирова', 1)
('Зыкова София Александровна', 1)
('Гаврила Аксёнович Максимов', 1)
('Ирина Эльдаровна Голубева', 1)
('Ираида Рубеновна Давыдова', 1)
('Анисимов Пимен Глебович', 1)
('Родионов Пров Августович', 1)
('Феврония Кирилловна Гуляева', 1)
('Агап Трифонович Сидоров', 1)
('Виктория Юрьевна Зайцева', 1)
('Аскольд Марсович Емельянов', 1)
('Федосий Матвеевич Кудрявцев', 1)
('Зыков Лаврентий Устинович', 1)
('Вера Руслановна Калинина', 1)
('тов. Никифоров Каллистрат Игоревич', 1)
('Нина Леонидовна Козлова', 1)
('Пелагея Игоревна Федосеева', 1)
('Горшкова Глафира Васильевна', 1)
('Глафира Сергеевна Рожкова', 1)
('Зоя Евгеньевна Афанасьева', 1)
('Анжелика Степановна Нестерова', 2)
('Ульяна Натановна Тарасова', 2)
('Нинель Андреевна Дементьева', 2)
('Исаков Юрий Валерьянович', 2)
('Лариса Ивановна Савельева', 2)
('Александрова Галина Эльдаровна', 2)
('Галина Константиновна Пахомова', 2)
('Кузьмина Надежда Степановна', 2)
('Герасимова София Леонидовна', 2)
('Виноградов Гостомысл Тихонович', 2)
('Мартынов Ростислав Ефимович', 2)
('Сысоев Фадей Изотович', 2)
('Любим Давидович Веселов', 2)
('тов. Кузьмина Виктория Олеговна', 2)
('Силина Александра Архиповна', 2)
('Мамонтов Капитон Герасимович', 2)
('Ульян Егорович Сысоев', 2)
('Октябрина Филипповна Зиновьева', 2)
('Гуляев Рубен Адамович', 2)
('Белоусов Фадей Данилович', 2)
('Белякова Зинаида Кузьминична', 3)
('Юлия Васильевна Доронина', 3)
('Нифонт Фролович Беляев', 3)
('Воронов Пров Феодосьевич', 3)
('Лаврентьев Эдуард Денисович', 3)
('Пестова Тамара Викторовна', 3)
('Капустина Зинаида Кузьминична', 3)
('Калашникова Наина Рубеновна', 3)
('Наина Станиславовна Савина', 3)
('Агафонов Адам Фролович', 3)
('Голубев Селиван Игнатьевич', 3)
('Мария Руслановна Герасимова', 3)
('Захар Федотович Силин', 3)
('Будимир Харлампович Тимофеев', 3)
('Мариан Евсеевич Ситников', 3)
('Волков Эмиль Антонович', 3)
('Фока Якубович Шаров', 3)
('тов. Фадеев Милован Ярославович', 3)
('Виталий Филатович Лукин', 3)
('Елена Тимуровна Васильева', 3)

('Повар', 'Лебедева Светлана Тимофеевна', 1, 3, datetime.date(2021, 3, 25))
('Повар', 'Алексей Гордеевич Овчинников', 1, 12, datetime.date(2021, 12, 4))
('Повар', 'Крюков Андроник Измаилович', 1, 2, datetime.date(2021, 3, 7))
('Повар', 'Крюков Андроник Измаилович', 1, 2, datetime.date(2021, 4, 16))
('Повар', 'Агафонова Глафира Тимуровна', 1, 11, datetime.date(2021, 11, 19))
('Повар', 'Лебедева Светлана Тимофеевна', 1, 3, datetime.date(2021, 12, 15))
('Повар', 'Крюков Андроник Измаилович', 1, 12, datetime.date(2021, 8, 7))
('Повар', 'Лебедева Светлана Тимофеевна', 1, 11, datetime.date(2021, 12, 3))
('Повар', 'Агафонова Глафира Тимуровна', 1, 1, datetime.date(2021, 6, 20))
('Повар', 'Лебедева Светлана Тимофеевна', 1, 7, datetime.date(2021, 9, 12))
('Повар', 'Крюков Андроник Измаилович', 1, 6, datetime.date(2021, 1, 5))
('Повар', 'Агафонова Глафира Тимуровна', 1, 9, datetime.date(2021, 6, 13))
('Повар', 'Лебедева Светлана Тимофеевна', 1, 6, datetime.date(2021, 4, 21))
('Повар', 'Крюков Андроник Измаилович', 1, 3, datetime.date(2021, 6, 5))
('Повар', 'Алексей Гордеевич Овчинников', 1, 4, datetime.date(2021, 5, 8))
('Повар', 'Агафонова Глафира Тимуровна', 1, 12, datetime.date(2021, 4, 22))
('Повар', 'Лебедева Светлана Тимофеевна', 1, 9, datetime.date(2021, 1, 7))
('Повар', 'Крюков Андроник Измаилович', 1, 2, datetime.date(2021, 8, 1))
('Повар', 'Крюков Андроник Измаилович', 1, 12, datetime.date(2021, 8, 19))
('Повар', 'Агафонова Глафира Тимуровна', 1, 11, datetime.date(2021, 2, 28))
('Невропатолог', 'Алексей Гордеевич Овчинников', 1, 12, datetime.date(2021, 5, 6))
('Невропатолог', 'Алексей Гордеевич Овчинников', 1, 2, datetime.date(2021, 4, 22))
('Невропатолог', 'Алексей Гордеевич Овчинников', 1, 2, datetime.date(2021, 9, 1))
('Невропатолог', 'Лебедева Светлана Тимофеевна', 1, 4, datetime.date(2021, 2, 2))
('Невропатолог', 'Крюков Андроник Измаилович', 1, 12, datetime.date(2021, 4, 17))
('Невропатолог', 'Агафонова Глафира Тимуровна', 1, 7, datetime.date(2021, 10, 20))
('Невропатолог', 'Агафонова Глафира Тимуровна', 1, 2, datetime.date(2021, 4, 22))
('Невропатолог', 'Лебедева Светлана Тимофеевна', 1, 11, datetime.date(2021, 5, 10))
('Невропатолог', 'Лебедева Светлана Тимофеевна', 1, 12, datetime.date(2021, 4, 20))
('Невропатолог', 'Алексей Гордеевич Овчинников', 1, 7, datetime.date(2021, 7, 13))
('Невропатолог', 'Агафонова Глафира Тимуровна', 1, 3, datetime.date(2021, 2, 21))
('Невропатолог', 'Агафонова Глафира Тимуровна', 1, 8, datetime.date(2021, 4, 13))
('Невропатолог', 'Крюков Андроник Измаилович', 1, 4, datetime.date(2021, 4, 22))
('Невропатолог', 'Крюков Андроник Измаилович', 1, 7, datetime.date(2021, 7, 2))
('Невропатолог', 'Алексей Гордеевич Овчинников', 1, 3, datetime.date(2021, 4, 18))
('Невропатолог', 'Лебедева Светлана Тимофеевна', 1, 3, datetime.date(2021, 10, 24))
('Невропатолог', 'Лебедева Светлана Тимофеевна', 1, 1, datetime.date(2021, 4, 24))
('Невропатолог', 'Агафонова Глафира Тимуровна', 1, 2, datetime.date(2021, 2, 11))
('Невропатолог', 'Агафонова Глафира Тимуровна', 1, 1, datetime.date(2021, 11, 3))
('Невропатолог', 'Агафонова Глафира Тимуровна', 1, 12, datetime.date(2021, 4, 6))
('Прозектор', 'Лебедева Светлана Тимофеевна', 1, 12, datetime.date(2021, 2, 15))
('Прозектор', 'Крюков Андроник Измаилович', 1, 7, datetime.date(2021, 2, 21))
('Прозектор', 'Алексей Гордеевич Овчинников', 1, 9, datetime.date(2021, 11, 6))
('Прозектор', 'Крюков Андроник Измаилович', 1, 1, datetime.date(2021, 4, 10))
('Прозектор', 'Агафонова Глафира Тимуровна', 1, 3, datetime.date(2021, 12, 13))
('Прозектор', 'Крюков Андроник Измаилович', 1, 9, datetime.date(2021, 12, 15))
('Прозектор', 'Крюков Андроник Измаилович', 1, 3, datetime.date(2021, 4, 12))
('Прозектор', 'Алексей Гордеевич Овчинников', 1, 9, datetime.date(2021, 3, 26))
('Прозектор', 'Алексей Гордеевич Овчинников', 1, 7, datetime.date(2021, 1, 20))
('Прозектор', 'Алексей Гордеевич Овчинников', 1, 10, datetime.date(2021, 7, 19))
('Прозектор', 'Алексей Гордеевич Овчинников', 1, 11, datetime.date(2021, 5, 7))
('Прозектор', 'Лебедева Светлана Тимофеевна', 1, 2, datetime.date(2021, 12, 22))
('Прозектор', 'Крюков Андроник Измаилович', 1, 10, datetime.date(2021, 2, 23))
('Прозектор', 'Алексей Гордеевич Овчинников', 1, 11, datetime.date(2021, 6, 10))
('Прозектор', 'Агафонова Глафира Тимуровна', 1, 10, datetime.date(2021, 3, 25))
('Прозектор', 'Агафонова Глафира Тимуровна', 1, 8, datetime.date(2021, 7, 18))
('Прозектор', 'Алексей Гордеевич Овчинников', 1, 3, datetime.date(2021, 8, 13))
('Прозектор', 'Агафонова Глафира Тимуровна', 1, 10, datetime.date(2021, 7, 25))
('Прозектор', 'Алексей Гордеевич Овчинников', 1, 7, datetime.date(2021, 1, 18))
('Прозектор', 'Лебедева Светлана Тимофеевна', 1, 2, datetime.date(2021, 12, 4))
('Контент-менеджер', 'Лебедева Светлана Тимофеевна', 1, 8, datetime.date(2021, 8, 19))
('Контент-менеджер', 'Агафонова Глафира Тимуровна', 1, 9, datetime.date(2021, 5, 19))
('Контент-менеджер', 'Крюков Андроник Измаилович', 1, 7, datetime.date(2021, 4, 28))
('Контент-менеджер', 'Агафонова Глафира Тимуровна', 1, 3, datetime.date(2021, 4, 21))
('Контент-менеджер', 'Алексей Гордеевич Овчинников', 1, 1, datetime.date(2021, 3, 13))
('Контент-менеджер', 'Агафонова Глафира Тимуровна', 1, 9, datetime.date(2021, 12, 5))
('Контент-менеджер', 'Агафонова Глафира Тимуровна', 1, 2, datetime.date(2021, 7, 22))
('Контент-менеджер', 'Крюков Андроник Измаилович', 1, 3, datetime.date(2021, 1, 17))
('Контент-менеджер', 'Алексей Гордеевич Овчинников', 1, 10, datetime.date(2021, 6, 8))
('Контент-менеджер', 'Лебедева Светлана Тимофеевна', 1, 11, datetime.date(2021, 10, 22))
('Контент-менеджер', 'Алексей Гордеевич Овчинников', 1, 8, datetime.date(2021, 12, 14))
('Контент-менеджер', 'Лебедева Светлана Тимофеевна', 1, 3, datetime.date(2021, 1, 15))
('Контент-менеджер', 'Крюков Андроник Измаилович', 1, 1, datetime.date(2021, 1, 25))
('Контент-менеджер', 'Крюков Андроник Измаилович', 1, 10, datetime.date(2021, 1, 26))
('Контент-менеджер', 'Крюков Андроник Измаилович', 1, 8, datetime.date(2021, 6, 4))
('Контент-менеджер', 'Лебедева Светлана Тимофеевна', 1, 11, datetime.date(2021, 12, 25))
('Контент-менеджер', 'Крюков Андроник Измаилович', 1, 10, datetime.date(2021, 6, 3))
('Контент-менеджер', 'Агафонова Глафира Тимуровна', 1, 8, datetime.date(2021, 8, 8))
('Контент-менеджер', 'Лебедева Светлана Тимофеевна', 1, 11, datetime.date(2021, 1, 16))
('Контент-менеджер', 'Лебедева Светлана Тимофеевна', 1, 9, datetime.date(2021, 10, 19))
('Мастер педикюра', 'Лебедева Светлана Тимофеевна', 1, 5, datetime.date(2021, 2, 22))
('Мастер педикюра', 'Лебедева Светлана Тимофеевна', 1, 7, datetime.date(2021, 2, 11))
('Мастер педикюра', 'Алексей Гордеевич Овчинников', 1, 3, datetime.date(2021, 12, 13))
('Мастер педикюра', 'Агафонова Глафира Тимуровна', 1, 3, datetime.date(2021, 8, 22))
('Мастер педикюра', 'Агафонова Глафира Тимуровна', 1, 5, datetime.date(2021, 1, 24))
('Мастер педикюра', 'Крюков Андроник Измаилович', 1, 6, datetime.date(2021, 2, 8))
('Мастер педикюра', 'Алексей Гордеевич Овчинников', 1, 5, datetime.date(2021, 3, 28))
('Мастер педикюра', 'Агафонова Глафира Тимуровна', 1, 10, datetime.date(2021, 6, 11))
('Мастер педикюра', 'Агафонова Глафира Тимуровна', 1, 1, datetime.date(2021, 6, 8))
('Мастер педикюра', 'Агафонова Глафира Тимуровна', 1, 8, datetime.date(2021, 3, 16))
('Мастер педикюра', 'Алексей Гордеевич Овчинников', 1, 11, datetime.date(2021, 9, 9))
('Мастер педикюра', 'Алексей Гордеевич Овчинников', 1, 2, datetime.date(2021, 9, 4))
('Мастер педикюра', 'Крюков Андроник Измаилович', 1, 6, datetime.date(2021, 2, 16))
('Мастер педикюра', 'Крюков Андроник Измаилович', 1, 7, datetime.date(2021, 4, 7))
('Мастер педикюра', 'Алексей Гордеевич Овчинников', 1, 5, datetime.date(2021, 4, 7))
('Мастер педикюра', 'Агафонова Глафира Тимуровна', 1, 6, datetime.date(2021, 12, 16))
('Мастер педикюра', 'Лебедева Светлана Тимофеевна', 1, 2, datetime.date(2021, 12, 6))
('Мастер педикюра', 'Крюков Андроник Измаилович', 1, 7, datetime.date(2021, 3, 13))
('Мастер педикюра', 'Крюков Андроник Измаилович', 1, 2, datetime.date(2021, 12, 6))
('Мастер педикюра', 'Крюков Андроник Измаилович', 1, 3, datetime.date(2021, 12, 11))
('Повар', 'Агафонова Глафира Тимуровна', 2, 6, datetime.date(2021, 12, 9))
('Повар', 'Алексей Гордеевич Овчинников', 2, 2, datetime.date(2021, 3, 26))
('Повар', 'Агафонова Глафира Тимуровна', 2, 2, datetime.date(2021, 5, 17))
('Повар', 'Алексей Гордеевич Овчинников', 2, 2, datetime.date(2021, 5, 6))
('Повар', 'Крюков Андроник Измаилович', 2, 2, datetime.date(2021, 10, 15))
('Повар', 'Алексей Гордеевич Овчинников', 2, 1, datetime.date(2021, 1, 15))
('Повар', 'Алексей Гордеевич Овчинников', 2, 8, datetime.date(2021, 10, 28))
('Повар', 'Алексей Гордеевич Овчинников', 2, 4, datetime.date(2021, 6, 10))
('Повар', 'Агафонова Глафира Тимуровна', 2, 4, datetime.date(2021, 5, 14))
('Повар', 'Лебедева Светлана Тимофеевна', 2, 8, datetime.date(2021, 4, 9))
('Повар', 'Крюков Андроник Измаилович', 2, 12, datetime.date(2021, 11, 16))
('Повар', 'Лебедева Светлана Тимофеевна', 2, 3, datetime.date(2021, 6, 9))
('Повар', 'Крюков Андроник Измаилович', 2, 12, datetime.date(2021, 12, 18))
('Повар', 'Лебедева Светлана Тимофеевна', 2, 6, datetime.date(2021, 1, 19))
('Повар', 'Лебедева Светлана Тимофеевна', 2, 6, datetime.date(2021, 2, 9))
('Повар', 'Алексей Гордеевич Овчинников', 2, 9, datetime.date(2021, 11, 3))
('Повар', 'Агафонова Глафира Тимуровна', 2, 6, datetime.date(2021, 10, 12))
('Повар', 'Агафонова Глафира Тимуровна', 2, 1, datetime.date(2021, 4, 25))
('Повар', 'Крюков Андроник Измаилович', 2, 8, datetime.date(2021, 12, 18))
('Повар', 'Агафонова Глафира Тимуровна', 2, 5, datetime.date(2021, 8, 22))
('Невропатолог', 'Агафонова Глафира Тимуровна', 2, 3, datetime.date(2021, 7, 13))
('Невропатолог', 'Крюков Андроник Измаилович', 2, 8, datetime.date(2021, 3, 4))
('Невропатолог', 'Крюков Андроник Измаилович', 2, 10, datetime.date(2021, 4, 8))
